Detailed Stock Inventory Report
Generated:,2025-11-26

Summary
Total Courses,8
Total Unique Items,202
Total Stock Quantity,15719
Total Inventory Value,6325620.00

Course,Item Code,Item Name,Size,Quantity,Price,Status
"BSTM",1024,"Tourism Blazer (Female)","S",0,600.00,"OUT OF STOCK"
"BSTM",1024,"Tourism Blazer (Female)","M",0,600.00,"OUT OF STOCK"
"BSTM",1024,"Tourism Blazer (Female)","L",0,600.00,"OUT OF STOCK"
"BSTM",1024,"Tourism Blazer (Female)","XL",0,600.00,"OUT OF STOCK"
"BSTM",1025,"Tourism Blue Skirt (Female)","S",35,480.00,"IN STOCK"
"BSTM",1025,"Tourism Blue Skirt (Female)","M",50,480.00,"IN STOCK"
"BSTM",1025,"Tourism Blue Skirt (Female)","L",50,480.00,"IN STOCK"
"BSTM",1025,"Tourism Blue Skirt (Female)","XL",30,480.00,"IN STOCK"
"BSTM",1026,"Tourism Blue Slacks (Female)","S",35,500.00,"IN STOCK"
"BSTM",1026,"Tourism Blue Slacks (Female)","M",45,500.00,"IN STOCK"
"BSTM",1026,"Tourism Blue Slacks (Female)","L",1,500.00,"LOW STOCK"
"BSTM",1026,"Tourism Blue Slacks (Female)","XL",30,500.00,"IN STOCK"
"BSTM",1027,"Tourism Yellow Scarf","One Size",80,120.00,"IN STOCK"
"BSTM",1028,"Tourism Pin","One Size",100,80.00,"IN STOCK"
"BSTM",1029,"Tourism White Long Polo (Male)","S",0,500.00,"OUT OF STOCK"
"BSTM",1029,"Tourism White Long Polo (Male)","M",0,500.00,"OUT OF STOCK"
"BSTM",1029,"Tourism White Long Polo (Male)","L",0,500.00,"OUT OF STOCK"
"BSTM",1029,"Tourism White Long Polo (Male)","XL",0,500.00,"OUT OF STOCK"
"BSTM",1030,"Tourism Blazer (Male)","S",35,650.00,"IN STOCK"
"BSTM",1030,"Tourism Blazer (Male)","M",45,650.00,"IN STOCK"
"BSTM",1030,"Tourism Blazer (Male)","L",40,650.00,"IN STOCK"
"BSTM",1030,"Tourism Blazer (Male)","XL",30,650.00,"IN STOCK"
"BSTM",1031,"Tourism Trousers (Male)","S",40,520.00,"IN STOCK"
"BSTM",1031,"Tourism Trousers (Male)","M",50,520.00,"IN STOCK"
"BSTM",1031,"Tourism Trousers (Male)","L",45,520.00,"IN STOCK"
"BSTM",1031,"Tourism Trousers (Male)","XL",35,520.00,"IN STOCK"
"BSTM",1032,"Tourism Necktie","One Size",0,180.00,"OUT OF STOCK"
"BSTM",1023,"Tourism White Blouse (Female)","S",40,480.00,"IN STOCK"
"BSTM",1023,"Tourism White Blouse (Female)","M",60,480.00,"IN STOCK"
"BSTM",1023,"Tourism White Blouse (Female)","L",50,480.00,"IN STOCK"
"BSTM",1023,"Tourism White Blouse (Female)","XL",40,480.00,"IN STOCK"
"SHS",1033,"SHS White Blouse (Female)","S",0,420.00,"OUT OF STOCK"
"SHS",1033,"SHS White Blouse (Female)","M",0,420.00,"OUT OF STOCK"
"SHS",1033,"SHS White Blouse (Female)","L",0,420.00,"OUT OF STOCK"
"SHS",1033,"SHS White Blouse (Female)","XL",0,420.00,"OUT OF STOCK"
"SHS",1034,"SHS Vest (Female)","S",299,300.00,"IN STOCK"
"SHS",1034,"SHS Vest (Female)","M",420,300.00,"IN STOCK"
"SHS",1034,"SHS Vest (Female)","L",360,300.00,"IN STOCK"
"SHS",1034,"SHS Vest (Female)","XL",270,300.00,"IN STOCK"
"SHS",1035,"SHS Checkered Skirt","S",297,450.00,"IN STOCK"
"SHS",1035,"SHS Checkered Skirt","M",420,450.00,"IN STOCK"
"SHS",1035,"SHS Checkered Skirt","L",360,450.00,"IN STOCK"
"SHS",1035,"SHS Checkered Skirt","XL",267,450.00,"IN STOCK"
"SHS",1036,"SHS White Polo (Male)","S",330,420.00,"IN STOCK"
"SHS",1036,"SHS White Polo (Male)","M",480,420.00,"IN STOCK"
"SHS",1036,"SHS White Polo (Male)","L",390,420.00,"IN STOCK"
"SHS",1036,"SHS White Polo (Male)","XL",297,420.00,"IN STOCK"
"SHS",1037,"SHS Vest (Male)","S",300,300.00,"IN STOCK"
"SHS",1037,"SHS Vest (Male)","M",420,300.00,"IN STOCK"
"SHS",1037,"SHS Vest (Male)","L",360,300.00,"IN STOCK"
"SHS",1037,"SHS Vest (Male)","XL",270,300.00,"IN STOCK"
