ItemCode,ItemName,Course,Size,Quantity,Price
1003,IT/Eng Gray 3/4 Blouse (Female),BSIT,S,96,450.00
1003,IT/Eng Gray 3/4 Blouse (Female),BSIT,M,68,450.00
1003,IT/Eng Gray 3/4 Blouse (Female),BSIT,L,48,450.00
1003,IT/Eng Gray 3/4 Blouse (Female),BSIT,XL,40,450.00
1004,IT/Eng RTW Skirt (Female),BSIT,S,39,480.00
1004,IT/Eng RTW Skirt (Female),BSIT,M,47,480.00
1004,IT/Eng RTW Skirt (Female),BSIT,L,40,480.00
1004,IT/Eng RTW Skirt (Female),BSIT,XL,35,480.00
1005,IT/Eng RTW Pants (Female),BSIT,S,34,500.00
1005,IT/Eng RTW Pants (Female),BSIT,M,45,500.00
1005,IT/Eng RTW Pants (Female),BSIT,L,35,500.00
1005,IT/Eng RTW Pants (Female),BSIT,XL,30,500.00
1006,IT/Eng Gray 3/4 Polo (Male),BSCS,S,45,450.00
1006,IT/Eng Gray 3/4 Polo (Male),BSCS,M,65,450.00
1006,IT/Eng Gray 3/4 Polo (Male),BSCS,L,55,450.00
1006,IT/Eng Gray 3/4 Polo (Male),BSCS,XL,40,450.00
1007,IT/Eng RTW Pants (Male),BSCS,S,40,500.00
1007,IT/Eng RTW Pants (Male),BSCS,M,50,500.00
1007,IT/Eng RTW Pants (Male),BSCS,L,45,500.00
1007,IT/Eng RTW Pants (Male),BSCS,XL,35,500.00
1008,IT/Eng Gray 3/4 Blouse (Female),BSCS,S,50,450.00
1008,IT/Eng Gray 3/4 Blouse (Female),BSCS,M,60,450.00
1008,IT/Eng Gray 3/4 Blouse (Female),BSCS,L,55,450.00
1008,IT/Eng Gray 3/4 Blouse (Female),BSCS,XL,45,450.00
1009,IT/Eng RTW Skirt (Female),BSCS,S,40,480.00
1009,IT/Eng RTW Skirt (Female),BSCS,M,45,480.00
1009,IT/Eng RTW Skirt (Female),BSCS,L,40,480.00
1009,IT/Eng RTW Skirt (Female),BSCS,XL,35,480.00
1010,IT/Eng Gray 3/4 Polo (Male),BSCpE,S,50,450.00
1010,IT/Eng Gray 3/4 Polo (Male),BSCpE,M,60,450.00
1010,IT/Eng Gray 3/4 Polo (Male),BSCpE,L,50,450.00
1010,IT/Eng Gray 3/4 Polo (Male),BSCpE,XL,45,450.00
1011,IT/Eng RTW Pants (Male),BSCpE,S,40,500.00
1011,IT/Eng RTW Pants (Male),BSCpE,M,45,500.00
1011,IT/Eng RTW Pants (Male),BSCpE,L,40,500.00
1011,IT/Eng RTW Pants (Male),BSCpE,XL,35,500.00
1012,IT/Eng Gray 3/4 Blouse (Female),BSCpE,S,45,450.00
1012,IT/Eng Gray 3/4 Blouse (Female),BSCpE,M,55,450.00
1012,IT/Eng Gray 3/4 Blouse (Female),BSCpE,L,50,450.00
1012,IT/Eng Gray 3/4 Blouse (Female),BSCpE,XL,40,450.00
1013,Arts Gray 3/4 Polo (Male),BMMA,S,45,450.00
1013,Arts Gray 3/4 Polo (Male),BMMA,M,50,450.00
1013,Arts Gray 3/4 Polo (Male),BMMA,L,45,450.00
1013,Arts Gray 3/4 Polo (Male),BMMA,XL,40,450.00
1014,Arts RTW Pants (Male),BMMA,S,35,500.00
1014,Arts RTW Pants (Male),BMMA,M,40,500.00
1014,Arts RTW Pants (Male),BMMA,L,35,500.00
1014,Arts RTW Pants (Male),BMMA,XL,30,500.00
1015,Arts Gray 3/4 Blouse (Female),BMMA,S,45,450.00
1015,Arts Gray 3/4 Blouse (Female),BMMA,M,55,450.00
1015,Arts Gray 3/4 Blouse (Female),BMMA,L,50,450.00
1015,Arts Gray 3/4 Blouse (Female),BMMA,XL,40,450.00
1016,Arts RTW Skirt (Female),BMMA,S,40,480.00
1016,Arts RTW Skirt (Female),BMMA,M,45,480.00
1016,Arts RTW Skirt (Female),BMMA,L,40,480.00
1016,Arts RTW Skirt (Female),BMMA,XL,35,480.00
1017,Arts RTW Pants (Female),BMMA,S,35,500.00
1017,Arts RTW Pants (Female),BMMA,M,40,500.00
1017,Arts RTW Pants (Female),BMMA,L,35,500.00
1017,Arts RTW Pants (Female),BMMA,XL,30,500.00
